SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,BASIN_CODE,BASIN_NAME,WELL_DEPTH,WELL_USE
332323N1174051W001,11S05W09J001S,,33.2323,-117.4051,9-004,Santa Margarita Valley,,Unknown
332323N1174051W002,11S05W09J002S,,33.2323,-117.4051,9-004,Santa Margarita Valley,,Unknown
332367N1173973W001,11S05W10E001S,,33.2367,-117.3973,9-004,Santa Margarita Valley,,Unknown
332370N1173912W001,11S05W10G002S,,33.2370,-117.3912,9-004,Santa Margarita Valley,,Unknown
332370N1173946W001,11S05W10F001S,,33.2370,-117.3946,9-004,Santa Margarita Valley,,Unknown
332373N1173882W001,11S05W10G001S,,33.2373,-117.3882,9-004,Santa Margarita Valley,,Unknown
332375N1173890W001,11S05W10B001S,,33.2375,-117.3890,9-004,Santa Margarita Valley,,Unknown
332387N1173846W001,11S05W10A001S,,33.2387,-117.3846,9-004,Santa Margarita Valley,,Unknown
332391N1173818W001,,11D4,33.239130,-117.381750,9-004,Santa Margarita Valley,109,Observation
332434N1173829W001,11S05W02N002S,,33.2434,-117.3829,9-004,Santa Margarita Valley,,Unknown
332437N1173823W001,11S05W02N004S,,33.2437,-117.3823,9-004,Santa Margarita Valley,,Unknown
332437N1173832W001,11S05W02N005S,,33.2437,-117.3832,9-004,Santa Margarita Valley,,Unknown
332453N1173829W001,11S05W02N003S,,33.2453,-117.3829,9-004,Santa Margarita Valley,,Unknown
332470N1173726W001,11S05W02K002S,,33.2470,-117.3726,9-004,Santa Margarita Valley,,Unknown
332478N1173809W001,11S05W02M001S,,33.2478,-117.3809,9-004,Santa Margarita Valley,,Unknown
332487N1173754W001,11S05W02K001S,,33.2487,-117.3754,9-004,Santa Margarita Valley,,Unknown
332492N1173765W001,11S05W02F001S,,33.2492,-117.3765,9-004,Santa Margarita Valley,,Unknown
332492N1173765W002,11S05W02F003S,,33.2492,-117.3765,9-004,Santa Margarita Valley,,Unknown
332492N1173782W001,11S05W02E003S,,33.2492,-117.3782,9-004,Santa Margarita Valley,,Unknown
332512N1173668W001,11S05W01E001S,,33.2512,-117.3668,9-004,Santa Margarita Valley,,Unknown
332512N1173807W001,11S05W02E001S,,33.2512,-117.3807,9-004,Santa Margarita Valley,,Unknown
332512N1173807W002,11S05W02E004S,,33.2512,-117.3807,9-004,Santa Margarita Valley,,Unknown
332548N1173687W001,11S05W02A004S,,33.2548,-117.3687,9-004,Santa Margarita Valley,,Unknown
332550N1173796W001,11S05W02D001S,,33.2550,-117.3796,9-004,Santa Margarita Valley,,Unknown
332550N1173796W002,11S05W02D003S,,33.2550,-117.3796,9-004,Santa Margarita Valley,,Unknown
332553N1173718W001,11S05W02B001S,,33.2553,-117.3718,9-004,Santa Margarita Valley,,Unknown
332553N1173718W002,11S05W02B002S,,33.2553,-117.3718,9-004,Santa Margarita Valley,,Unknown
332556N1173698W001,11S05W02A001S,,33.2556,-117.3698,9-004,Santa Margarita Valley,,Unknown
332556N1173698W002,11S05W02A005S,,33.2556,-117.3698,9-004,Santa Margarita Valley,,Unknown
332575N1173696W001,10S05W35R002S,,33.2575,-117.3696,9-004,Santa Margarita Valley,,Unknown
332578N1173701W001,10S05W35R001S,,33.2578,-117.3701,9-004,Santa Margarita Valley,,Unknown
332578N1173701W002,10S05W35R003S,,33.2578,-117.3701,9-004,Santa Margarita Valley,,Unknown
332623N1173743W001,10S05W35K005S,,33.2623,-117.3743,9-004,Santa Margarita Valley,,Unknown
332628N1173698W001,10S05W35J001S,,33.2628,-117.3698,9-004,Santa Margarita Valley,,Unknown
332637N1173726W001,10S05W35K003S,,33.2637,-117.3726,9-004,Santa Margarita Valley,,Unknown
332637N1173746W001,10S05W35K001S,,33.2637,-117.3746,9-004,Santa Margarita Valley,,Unknown
332637N1173746W002,10S05W35K004S,,33.2637,-117.3746,9-004,Santa Margarita Valley,,Unknown
332637N1173746W003,10S05W35K006S,,33.2637,-117.3746,9-004,Santa Margarita Valley,,Unknown
332709N1173768W001,10S05W35C001S,,33.2709,-117.3768,9-004,Santa Margarita Valley,,Unknown
332759N1173759W001,10S05W26L003S,,33.2759,-117.3759,9-004,Santa Margarita Valley,,Unknown
332764N1173757W001,10S05W26L001S,,33.2764,-117.3757,9-004,Santa Margarita Valley,,Unknown
332764N1173757W002,10S05W26L002S,,33.2764,-117.3757,9-004,Santa Margarita Valley,,Unknown
332792N1173759W001,10S05W26F001S,,33.2792,-117.3759,9-004,Santa Margarita Valley,,Unknown
332864N1173712W001,10S05W23Q001S,,33.2864,-117.3712,9-004,Santa Margarita Valley,,Unknown
332886N1173646W001,10S05W24N001S,,33.2886,-117.3646,9-004,Santa Margarita Valley,,Unknown
332911N1173682W001,10S05W23J003S,,33.2911,-117.3682,9-004,Santa Margarita Valley,,Unknown
332923N1173448W001,10S04W19L001S,,33.2923,-117.3448,9-004,Santa Margarita Valley,,Unknown
332925N1173693W001,10S05W23J004S,,33.2925,-117.3693,9-004,Santa Margarita Valley,,Unknown
332934N1173471W001,10S04W19E002S,,33.2934,-117.3471,9-004,Santa Margarita Valley,,Unknown
332934N1173757W001,10S05W23L001S,,33.2934,-117.3757,9-004,Santa Margarita Valley,,Unknown
332936N1173493W001,10S04W19E001S,,33.2936,-117.3493,9-004,Santa Margarita Valley,,Unknown
332956N1173518W001,10S05W24H001S,,33.2956,-117.3518,9-004,Santa Margarita Valley,,Unknown
332956N1173715W001,10S05W23G002S,,33.2956,-117.3715,9-004,Santa Margarita Valley,,Unknown
333006N1173599W001,,MW-2E,33.300630,-117.3599,9-004,Santa Margarita Valley,143,Observation
333009N1173529W001,10S05W13R001S,,33.3009,-117.3529,9-004,Santa Margarita Valley,,Unknown
333009N1173529W002,10S05W13R002S,,33.3009,-117.3529,9-004,Santa Margarita Valley,,Unknown
333017N1173671W001,10S05W14R001S,,33.3017,-117.3671,9-004,Santa Margarita Valley,,Unknown
333017N1173751W001,10S05W14P001S,,33.3017,-117.3751,9-004,Santa Margarita Valley,,Unknown
333053N1173476W001,10S04W18M001S,,33.3053,-117.3476,9-004,Santa Margarita Valley,,Unknown
333053N1173482W001,10S04W18M002S,,33.3053,-117.3482,9-004,Santa Margarita Valley,,Unknown
333061N1173534W001,10S05W13J001S,,33.3061,-117.3534,9-004,Santa Margarita Valley,,Unknown
333067N1173448W001,10S04W18L001S,,33.3067,-117.3448,9-004,Santa Margarita Valley,,Unknown
333095N1173465W001,10S04W18E001S,,33.3095,-117.3465,9-004,Santa Margarita Valley,,Unknown
333167N1173362W001,10S04W07R004S,,33.3167,-117.3362,9-004,Santa Margarita Valley,,Unknown
333173N1173365W001,10S04W07R001S,,33.3173,-117.3365,9-004,Santa Margarita Valley,,Unknown
333173N1173365W003,10S04W07R003S,,33.3173,-117.3365,9-004,Santa Margarita Valley,,Unknown
333175N1173365W001,10S04W07R005S,,33.3175,-117.3365,9-004,Santa Margarita Valley,,Unknown
333175N1173504W001,10S05W12R001S,,33.3175,-117.3504,9-004,Santa Margarita Valley,,Unknown
333181N1173371W001,10S04W07Q001S,,33.3181,-117.3371,9-004,Santa Margarita Valley,,Unknown
333189N1173326W001,10S04W07J002S,,33.3189,-117.3326,9-004,Santa Margarita Valley,,Unknown
333198N1173328W001,,7J4,33.319830,-117.332780,9-004,Santa Margarita Valley,75,Observation
333198N1173337W001,10S04W07J001S,,33.3198,-117.3337,9-004,Santa Margarita Valley,,Unknown
333223N1173301W001,10S04W08E001S,,33.3223,-117.3301,9-004,Santa Margarita Valley,,Unknown
333234N1173290W001,10S04W08E002S,,33.3234,-117.3290,9-004,Santa Margarita Valley,,Unknown
333236N1173332W001,10S04W07H001S,,33.3236,-117.3332,9-004,Santa Margarita Valley,,Unknown
333289N1173340W001,10S04W07A001S,,33.3289,-117.3340,9-004,Santa Margarita Valley,,Unknown
333311N1173359W001,10S04W06R001S,,33.3311,-117.3359,9-004,Santa Margarita Valley,,Unknown
333411N1173323W001,10S04W05D004S,,33.3411,-117.3323,9-004,Santa Margarita Valley,,Unknown
333431N1173312W001,10S04W05D003S,,33.3431,-117.3312,9-004,Santa Margarita Valley,,Unknown
333431N1173318W001,10S04W05D001S,,33.3431,-117.3318,9-004,Santa Margarita Valley,,Unknown
333636N1173232W001,09S04W29L001S,,33.3636,-117.3232,9-004,Santa Margarita Valley,,Unknown
